t / s,&j / arb.u.
0.03,-66.12
0.08,-66.2
0.13,-66.18
0.18,-66.2
0.23,-66.25
0.28,-66.26
0.33,-66.2
0.38,-66.31
0.43,-66.37
0.48,-66.43
0.53,-66.38
0.58,-66.39
0.63,-64.95
0.68,-61.84
0.73,-57.21
0.78,-51.63
0.83,-45.3
0.88,-38.96
0.93,-31.77
0.98,-23.78
1.03,-14.75
1.08,-4.82
1.13,5.84
1.18,16.54
1.23,26.49
1.28,34.93
1.33,41.98
1.38,47.43
1.43,51.57
1.48,54.31
1.53,55.95
1.58,56.24
1.63,55.46
1.68,53.34
1.73,50.08
1.78,45.51
1.83,39.83
1.88,32.86
1.93,24.8
1.98,15.68
2.03,6.24
2.08,-2.98
2.13,-11.42
2.18,-19.01
2.23,-25.51
2.28,-31.12
2.33,-35.78
2.38,-39.47
2.43,-42.24
2.48,-43.82
2.53,-44.02
2.58,-43.57
2.63,-42.55
2.68,-40.73
2.73,-38.1
2.78,-34.68
2.83,-30.54
2.88,-25.69
2.93,-20.19
2.98,-13.99
3.03,-7.31
3.08,-0.17
3.13,7.04
3.18,14.1
3.23,20.64
3.28,26.32
3.33,31.04
3.38,34.83
3.43,37.57
3.48,39.33
3.53,40.13
3.58,40.08
3.63,38.98
3.68,36.96
3.73,34.01
3.78,30.14
3.83,25.44
3.88,20.03
3.93,14.02
3.98,7.76
4.03,1.49
4.08,-4.56
4.13,-10.13
4.18,-15.15
4.23,-19.56
4.28,-23.37
4.33,-26.45
4.38,-28.83
4.43,-30.56
4.48,-31.62
4.53,-31.95
4.58,-31.79
4.63,-30.89
4.68,-29.29
4.73,-27.11
4.78,-24.39
4.83,-21.18
4.88,-17.4
4.93,-13.2
4.98,-8.72
5.03,-3.93
5.08,1.08
5.13,5.8
5.18,10.49
5.23,14.75
5.28,18.59
5.33,21.73
5.38,24.23
5.43,26.04
5.48,27.16
5.53,27.47
5.58,27.3
5.63,26.19
5.68,24.45
5.73,22.1
5.78,19.17
5.83,15.7
5.88,11.83
5.93,7.79
5.98,3.61
6.03,-0.54
6.08,-4.47
6.13,-8.22
6.18,-11.54
6.23,-14.51
6.28,-17.01
6.33,-19.15
6.38,-20.7
6.43,-21.86
6.48,-22.37
6.53,-22.56
6.58,-22.37
6.63,-21.62
6.68,-20.37
6.73,-18.78
6.78,-16.73
6.83,-14.47
6.88,-11.82
6.93,-9.04
6.98,-5.97
7.03,-2.78
7.08,0.37
7.13,3.31
7.18,6.25
7.23,8.88
7.28,11.25
7.33,13.18
7.38,14.85
7.43,15.89
7.48,16.55
7.53,16.62
7.58,16.54
7.63,15.76
7.68,14.56
7.73,12.95
7.78,11.08
7.83,8.79
7.88,6.49
7.93,3.88
7.98,1.42
8.03,-1.16
8.08,-3.59
8.13,-5.98
8.18,-8.06
8.23,-10
8.28,-11.53
8.33,-12.86
8.38,-13.84
8.43,-14.58
8.48,-14.95
8.53,-15.05
8.58,-14.86
8.63,-14.37
8.68,-13.5
8.73,-12.47
8.78,-11.17
8.83,-9.73
8.88,-8.08
8.93,-6.28
8.98,-4.36
9.03,-2.58
9.08,-0.69
9.13,1.16
9.18,2.83
9.23,4.36
9.28,5.77
9.33,6.87
9.38,7.73
9.43,8.26
9.48,8.73
9.53,8.73
9.58,8.67
9.63,8.17
9.68,7.52
9.73,6.61
9.78,5.55
9.83,4.27
9.88,3.02
9.93,1.52
9.98,0.17
10.03,-1.37
10.08,-2.69
10.13,-4.1
10.18,-5.26
10.23,-6.39
10.28,-7.25
10.33,-8.1
10.38,-8.56
10.43,-9.02
10.48,-9.13
10.53,-9.26
10.58,-9.1
10.63,-8.86
10.68,-8.34
10.73,-7.79
10.78,-6.98
10.83,-6.2
10.88,-5.24
10.93,-4.3
10.98,-3.24
11.03,-2.33
11.08,-1.2
11.13,-0.37
11.18,0.65
11.23,1.33
11.28,2.08
11.33,2.57
11.38,3.15
11.43,3.27
11.48,3.47
11.53,3.41
11.58,3.45
11.63,3.16
11.68,2.9
11.73,2.34
11.78,1.9
11.83,1.2
11.88,0.64
11.93,-0.12
11.98,-0.77
12.03,-1.51
12.08,-2.1
12.13,-2.84
12.18,-3.33
12.23,-3.88
12.28,-4.22
12.33,-4.63
12.38,-4.86
12.43,-5.06
12.48,-5.03
12.53,-5.12
12.58,-5.05
12.63,-4.98
12.68,-4.7
12.73,-4.47
12.78,-4.11
12.83,-3.82
12.88,-3.35
12.93,-3.05
12.98,-2.59
13.03,-2.29
13.08,-1.82
13.13,-1.52
13.18,-1.17
13.23,-0.99
13.28,-0.63
13.33,-0.52
13.38,-0.27
13.43,-0.3
13.48,-0.17
13.53,-0.26
13.58,-0.22
13.63,-0.3
13.68,-0.3
13.73,-0.45
13.78,-0.54
13.83,-0.78
13.88,-0.87
13.93,-1.11
13.98,-1.19
14.03,-1.45
14.08,-1.48
14.13,-1.71
14.18,-1.76
14.23,-1.98
14.28,-1.94
14.33,-2.1
14.38,-2.03
14.43,-2.16
14.48,-2.06
14.53,-2.13
14.58,-2.06
14.63,-2.15
