t / s,&j / arb.u.
0.03,-66.38
0.08,-66.43
0.13,-66.38
0.18,-66.43
0.23,-66.38
0.28,-66.42
0.33,-66.38
0.38,-66.47
0.43,-66.39
0.48,-66.42
0.53,-65.91
0.58,-64.02
0.63,-60.54
0.68,-55.88
0.73,-50.16
0.78,-44
0.83,-37.03
0.88,-29.52
0.93,-21.25
0.98,-12.08
1.03,-2.22
1.08,7.76
1.13,17.68
1.18,26.37
1.23,33.84
1.28,39.66
1.33,44.17
1.38,47.27
1.43,49.32
1.48,49.96
1.53,49.79
1.58,48.35
1.63,45.9
1.68,42.31
1.73,37.87
1.78,32.37
1.83,26.09
1.88,18.97
1.93,11.52
1.98,3.96
2.03,-3.13
2.08,-9.66
2.13,-15.43
2.18,-20.47
2.23,-24.62
2.28,-28.12
2.33,-30.65
2.38,-32.56
2.43,-33.63
2.48,-34.05
2.53,-33.82
2.58,-32.85
2.63,-31.14
2.68,-28.9
2.73,-26.06
2.78,-22.78
2.83,-19.02
2.88,-14.83
2.93,-10.29
2.98,-5.62
3.03,-0.79
3.08,3.88
3.13,8.42
3.18,12.47
3.23,16.1
3.28,19.08
3.33,21.53
3.38,23.07
3.43,24.14
3.48,24.43
3.53,24.31
3.58,23.31
3.63,21.82
3.68,19.71
3.73,17.23
3.78,14.17
3.83,10.99
3.88,7.47
3.93,4.08
3.98,0.65
4.03,-2.63
4.08,-5.81
4.13,-8.56
4.18,-11.02
4.23,-13.15
4.28,-15
4.33,-16.22
4.38,-17.26
4.43,-17.75
4.48,-18
4.53,-17.88
4.58,-17.44
4.63,-16.49
4.68,-15.28
4.73,-13.77
4.78,-12.13
4.83,-10.11
4.88,-8.16
4.93,-5.9
4.98,-3.73
5.03,-1.39
5.08,0.67
5.13,2.73
5.18,4.39
5.23,6.04
5.28,7.34
5.33,8.46
5.38,9.09
5.43,9.64
5.48,9.72
5.53,9.69
5.58,9.31
5.63,8.66
5.68,7.64
5.73,6.52
5.78,5.24
5.83,3.84
5.88,2.43
5.93,0.91
5.98,-0.65
6.03,-2.05
6.08,-3.46
6.13,-4.68
6.18,-5.85
6.23,-6.81
6.28,-7.69
6.33,-8.22
6.38,-8.77
6.43,-8.89
6.48,-9.08
6.53,-9.02
6.58,-8.85
6.63,-8.39
6.68,-7.88
6.73,-7.12
6.78,-6.42
6.83,-5.49
6.88,-4.62
6.93,-3.62
6.98,-2.7
7.03,-1.79
7.08,-0.96
7.13,-0.01
7.18,0.69
7.23,1.38
7.28,1.93
7.33,2.38
7.38,2.6
7.43,2.83
7.48,2.82
7.53,2.84
7.58,2.76
7.63,2.54
7.68,2.09
7.73,1.69
7.78,1.09
7.83,0.61
7.88,-0.03
7.93,-0.56
7.98,-1.27
8.03,-1.75
8.08,-2.39
8.13,-2.82
8.18,-3.42
