t / s,&j / arb.u.
0.03,-65.95
0.08,-65.86
0.13,-65.73
0.18,-65.78
0.23,-65.74
0.28,-65.85
0.33,-65.92
0.38,-66.16
0.43,-66.21
0.48,-66.47
0.53,-66.22
0.58,-64.74
0.63,-61.52
0.68,-57.28
0.73,-52.13
0.78,-46.68
0.83,-41.23
0.88,-35.65
0.93,-29.65
0.98,-23.55
1.03,-17.03
1.08,-10.56
1.13,-3.98
1.18,2.22
1.23,7.93
1.28,12.83
1.33,17.03
1.38,20.26
1.43,22.81
1.48,24.32
1.53,25.3
1.58,25.44
1.63,25.05
1.68,23.84
1.73,22.35
1.78,20.19
1.83,17.82
1.88,15.05
1.93,12.29
1.98,9.25
2.03,6.41
2.08,3.53
2.13,1
2.18,-1.48
2.23,-3.54
2.28,-5.48
2.33,-6.96
2.38,-8.27
2.43,-9.18
2.48,-9.96
2.53,-10.29
2.58,-10.57
2.63,-10.49
2.68,-10.49
2.73,-9.99
2.78,-9.54
2.83,-8.78
2.88,-8.1
2.93,-7.22
2.98,-6.37
3.03,-5.42
3.08,-4.59
3.13,-3.61
3.18,-2.91
3.23,-2.06
3.28,-1.44
3.33,-0.76
3.38,-0.33
3.43,0.2
3.48,0.42
3.53,0.81
3.58,0.82
3.63,0.99
3.73,1
3.78,0.86
3.83,0.75
3.88,0.46
3.93,0.35
3.98,-0.04
4.03,-0.24
4.08,-0.6
4.13,-0.82
4.18,-1.17
4.23,-1.3
4.28,-1.62
4.33,-1.74
4.38,-2.03
4.43,-2.11
4.48,-2.33
4.53,-2.25
4.58,-2.43
4.63,-2.39
4.68,-2.54
4.73,-2.42
4.78,-2.49
4.83,-2.44
4.88,-2.56
4.93,-2.42
4.98,-2.49
5.03,-2.3
5.08,-2.36
5.13,-2.15
5.18,-2.19
5.23,-2.01
5.28,-2.09
5.33,-1.92
5.38,-1.99
5.43,-1.84
5.48,-1.92
5.53,-1.8
5.58,-1.8
5.63,-1.79
5.68,-1.86
5.73,-1.71
5.78,-1.85
5.83,-1.78
5.88,-1.83
5.93,-1.68
5.98,-1.86
6.03,-1.78
6.08,-1.87
6.13,-1.73
6.18,-1.85
6.23,-1.74
6.28,-1.85
6.33,-1.71
6.38,-1.82
6.43,-1.78
6.48,-1.83
6.53,-1.7
6.58,-1.84
6.63,-1.78
6.68,-1.83
6.73,-1.75
6.78,-1.86
6.83,-1.73
6.88,-1.79
6.93,-1.78
6.98,-1.84
7.03,-1.75
7.08,-1.83
7.13,-1.73
7.18,-1.85
7.23,-1.78
7.28,-1.83
7.33,-1.73
7.38,-1.85
7.43,-1.75
7.48,-1.9
7.53,-1.75
7.58,-1.82
7.63,-1.78
7.68,-1.86
7.73,-1.71
7.78,-1.84
7.83,-1.75
7.88,-1.82
7.93,-1.79
7.98,-1.87
8.03,-1.74
8.08,-1.85
8.13,-1.79
8.18,-1.88
8.23,-1.71
8.28,-1.88
8.33,-1.75
8.38,-1.84
8.43,-1.76
8.48,-1.86
