t / s,&j / arb.u.
0.03,-66.35
0.08,-66.43
0.13,-66.4
0.18,-66.43
0.23,-66.38
0.28,-66.43
0.33,-66.38
0.38,-66.41
0.43,-66.39
0.48,-66.39
0.53,-66.38
0.58,-65.59
0.63,-63.18
0.68,-59.53
0.73,-54.82
0.78,-49.75
0.83,-44.36
0.88,-39.18
0.93,-33.69
0.98,-28.02
1.03,-22.09
1.08,-16.09
1.13,-10.02
1.18,-4.22
1.23,1.29
1.28,6.09
1.33,10.41
1.38,13.91
1.43,16.72
1.48,18.71
1.53,20.15
1.58,20.68
1.63,20.83
1.68,20.39
1.73,19.47
1.78,18.05
1.83,16.35
1.88,14.29
1.93,12.2
1.98,9.84
2.03,7.59
2.08,5.28
2.13,3.18
2.18,1.16
2.23,-0.66
2.28,-2.33
2.33,-3.72
2.38,-4.93
2.43,-5.9
2.48,-6.65
2.53,-7.14
2.58,-7.56
2.63,-7.68
2.68,-7.83
2.73,-7.69
2.78,-7.59
2.83,-7.15
2.88,-6.81
2.93,-6.28
2.98,-5.74
3.03,-5.19
3.08,-4.61
3.13,-4.01
3.18,-3.55
3.23,-2.93
3.28,-2.53
3.33,-1.98
3.38,-1.71
3.43,-1.27
3.48,-1.08
3.53,-0.81
3.58,-0.66
3.63,-0.5
3.68,-0.47
3.73,-0.36
3.78,-0.46
3.83,-0.44
3.88,-0.44
3.93,-0.44
3.98,-0.61
4.03,-0.68
4.08,-0.92
4.13,-0.95
4.18,-1.13
4.23,-1.23
4.28,-1.42
4.33,-1.44
4.38,-1.57
4.43,-1.6
4.48,-1.77
4.53,-1.75
4.58,-1.87
4.63,-1.86
4.68,-1.94
4.73,-1.9
4.78,-1.9
4.83,-1.95
4.88,-1.96
4.93,-1.9
4.98,-1.93
5.03,-1.92
5.08,-1.94
5.13,-1.87
5.18,-1.94
5.23,-1.87
5.28,-1.93
5.33,-1.92
5.38,-1.92
5.43,-1.94
5.48,-1.94
5.53,-1.87
5.58,-1.98
5.63,-1.91
5.68,-1.92
5.73,-1.89
5.78,-1.98
5.83,-1.88
5.88,-1.96
5.93,-1.9
5.98,-1.95
6.03,-1.92
6.08,-1.99
6.13,-1.83
6.18,-1.95
6.23,-1.92
6.28,-1.94
6.33,-1.91
6.38,-1.89
6.43,-1.94
6.48,-1.94
6.53,-1.86
6.58,-1.94
6.63,-1.91
6.68,-1.97
6.73,-1.89
6.78,-1.94
6.83,-1.91
