t / s,&j / arb.u.
0.03,-66.49
0.08,-66.6
0.13,-66.47
0.18,-66.57
0.23,-66.48
0.28,-66.57
0.33,-66.5
0.38,-66.57
0.43,-66.5
0.48,-66.58
0.53,-66.51
0.58,-66.59
0.63,-66.1
0.68,-64.31
0.73,-60.72
0.78,-55.96
0.83,-50.11
0.88,-43.81
0.93,-36.68
0.98,-28.98
1.03,-20.29
1.08,-10.75
1.13,-0.32
1.18,10.23
1.23,20.59
1.28,29.63
1.33,37.31
1.38,43.17
1.43,47.83
1.48,50.96
1.53,53
1.58,53.66
1.63,53.43
1.68,51.77
1.73,49.11
1.78,45.16
1.83,40.32
1.88,34.29
1.93,27.28
1.98,19.32
2.03,10.94
2.08,2.45
2.13,-5.43
2.18,-12.71
2.23,-19
2.28,-24.54
2.33,-29.05
2.38,-32.91
2.43,-35.58
2.48,-37.74
2.53,-38.73
2.58,-39.21
2.63,-38.72
2.68,-37.44
2.73,-35.26
2.78,-32.61
2.83,-29.07
2.88,-25.2
2.93,-20.58
2.98,-15.52
3.03,-9.94
3.08,-4.25
3.13,1.8
3.18,7.61
3.23,13.19
3.28,18.14
3.33,22.5
3.38,25.95
3.43,28.7
3.48,30.5
3.53,31.52
3.58,31.7
3.63,31.28
3.68,29.83
3.73,27.84
3.78,24.94
3.83,21.65
3.88,17.6
3.93,13.29
3.98,8.52
4.03,3.98
4.08,-0.73
4.13,-5.01
4.18,-9.17
4.23,-12.62
4.28,-15.88
4.33,-18.48
4.38,-20.75
4.43,-22.22
4.48,-23.42
4.53,-23.94
4.58,-24.12
4.63,-23.71
4.68,-22.9
4.73,-21.44
4.78,-19.78
4.83,-17.52
4.88,-15.06
4.93,-12.2
4.98,-9.22
5.03,-5.93
5.08,-2.74
5.13,0.63
5.18,3.7
5.23,6.71
5.28,9.3
5.33,11.72
5.38,13.56
5.43,15.1
5.48,16.04
5.53,16.63
5.63,16.49
5.73,14.3
5.78,12.55
5.83,10.69
5.88,8.44
5.93,6.09
5.98,3.62
6.03,1.18
6.08,-1.39
6.13,-3.7
6.18,-5.96
6.23,-7.92
6.28,-9.72
6.33,-11.13
6.38,-12.44
6.43,-13.23
6.48,-13.97
6.53,-14.21
6.58,-14.28
6.63,-14.11
6.68,-13.65
6.73,-12.77
6.78,-11.78
6.83,-10.46
6.88,-9.1
6.93,-7.48
6.98,-5.73
7.03,-3.91
7.08,-2.25
7.13,-0.5
7.18,1.09
7.23,2.75
7.28,4.01
7.33,5.19
7.38,6.15
7.43,6.96
7.48,7.36
7.53,7.68
7.63,7.6
7.68,7.13
7.73,6.4
7.78,5.55
7.83,4.6
7.88,3.47
7.93,2.26
7.98,1.02
8.03,-0.25
8.08,-1.61
8.13,-2.78
8.18,-3.96
8.23,-4.99
8.28,-5.93
8.33,-6.7
8.38,-7.34
8.43,-7.78
8.48,-8.18
8.53,-8.27
8.58,-8.32
8.63,-8.21
8.68,-7.95
8.73,-7.49
8.78,-6.97
8.83,-6.24
8.88,-5.52
8.93,-4.67
8.98,-3.83
9.03,-2.93
9.08,-2.08
9.13,-1.15
9.18,-0.4
9.23,0.38
9.28,1.04
9.33,1.66
9.38,2.07
9.43,2.5
9.48,2.7
9.53,2.79
9.58,2.75
9.63,2.8
9.68,2.57
9.73,2.29
9.78,1.84
9.83,1.32
9.88,0.74
9.93,0.22
9.98,-0.47
10.03,-1.08
10.08,-1.66
10.13,-2.22
10.18,-2.83
10.23,-3.31
10.28,-3.79
10.33,-4.09
10.38,-4.4
10.43,-4.66
10.48,-4.82
10.53,-4.88
10.58,-4.85
10.63,-4.89
10.68,-4.79
10.73,-4.57
10.78,-4.27
10.83,-3.96
10.88,-3.59
10.93,-3.22
10.98,-2.8
11.03,-2.39
11.08,-1.98
11.13,-1.57
11.18,-1.23
11.23,-0.88
11.28,-0.61
11.33,-0.35
11.38,-0.12
11.43,0.02
11.48,0.12
11.53,0.11
11.58,0.11
11.63,0.13
11.68,0.08
11.73,-0.06
11.78,-0.22
11.83,-0.45
11.88,-0.69
11.93,-0.93
11.98,-1.16
12.03,-1.39
12.08,-1.66
12.13,-1.91
12.18,-2.12
12.23,-2.28
12.28,-2.47
12.33,-2.58
12.38,-2.73
12.43,-2.81
12.48,-2.88
12.53,-2.86
12.58,-2.93
12.63,-2.9
12.68,-2.9
12.73,-2.89
12.78,-2.75
12.83,-2.61
12.88,-2.52
12.93,-2.42
12.98,-2.24
13.03,-2.11
13.08,-2.03
13.13,-1.96
13.18,-1.84
13.23,-1.71
13.28,-1.65
13.33,-1.59
13.38,-1.53
13.43,-1.56
13.48,-1.49
13.53,-1.52
13.58,-1.49
13.63,-1.52
13.68,-1.47
13.73,-1.51
13.78,-1.51
13.83,-1.54
13.88,-1.56
13.93,-1.63
13.98,-1.66
14.03,-1.7
14.08,-1.72
14.13,-1.77
14.18,-1.77
14.23,-1.83
14.28,-1.78
14.33,-1.78
14.38,-1.77
14.43,-1.82
14.48,-1.79
14.53,-1.82
14.58,-1.8
14.63,-1.77
14.68,-1.79
14.73,-1.8
14.78,-1.8
14.83,-1.81
14.88,-1.8
14.93,-1.82
14.98,-1.78
15.03,-1.85
15.08,-1.78
15.13,-1.8
15.18,-1.82
15.23,-1.77
15.28,-1.79
15.33,-1.81
15.38,-1.75
15.43,-1.82
15.48,-1.79
15.53,-1.81
15.58,-1.77
15.63,-1.81
15.68,-1.8
15.73,-1.8
15.78,-1.8
15.83,-1.79
15.88,-1.79
15.93,-1.81
15.98,-1.8
16.03,-1.82
16.08,-1.79
16.13,-1.79
16.18,-1.78
16.23,-1.79
16.28,-1.78
16.33,-1.82
16.38,-1.84
16.43,-1.8
16.48,-1.79
16.53,-1.83
16.58,-1.78
16.63,-1.83
16.68,-1.78
16.73,-1.83
16.78,-1.77
16.83,-1.86
16.88,-1.75
16.93,-1.84
16.98,-1.78
17.03,-1.85
