t / s,&j / arb.u.
0.03,-66.67
0.08,-66.66
0.13,-66.73
0.18,-66.7
0.23,-66.75
0.28,-66.73
0.33,-66.8
0.38,-66.75
0.43,-65.64
0.48,-62.6
0.53,-58.17
0.58,-52.58
0.63,-46.47
0.68,-40.36
0.73,-33.8
0.78,-26.46
0.83,-18.3
0.88,-9.19
0.93,0.55
0.98,10.62
1.03,20.26
1.08,28.84
1.13,36.06
1.18,41.81
1.23,46.21
1.28,49.36
1.33,51.28
1.38,52.04
1.43,51.74
1.48,50.22
1.53,47.52
1.58,43.79
1.63,38.92
1.68,33.01
1.73,25.96
1.78,18.2
1.83,9.82
1.88,1.55
1.93,-6.28
1.98,-13.37
2.03,-19.67
2.08,-25.06
2.13,-29.59
2.18,-33.24
2.23,-36
2.28,-38
2.33,-39.1
2.38,-39.38
2.43,-38.97
2.48,-37.62
2.53,-35.45
2.58,-32.62
2.63,-29.11
2.68,-25.02
2.73,-20.38
2.78,-15.1
2.83,-9.42
2.88,-3.36
2.93,2.77
2.98,8.83
3.03,14.62
3.08,19.75
3.13,24.23
3.18,27.82
3.23,30.55
3.28,32.47
3.33,33.48
3.38,33.65
3.43,33.14
3.48,31.63
3.53,29.47
3.58,26.43
3.63,22.76
3.68,18.46
3.73,13.74
3.78,8.7
3.83,3.67
3.88,-1.3
3.93,-5.98
3.98,-10.27
4.03,-14
4.08,-17.36
4.13,-20.19
4.18,-22.44
4.23,-24.03
4.28,-25.1
4.33,-25.65
4.38,-25.75
4.43,-25.27
4.48,-24.29
4.53,-22.78
4.58,-20.83
4.63,-18.46
4.68,-15.67
4.73,-12.6
4.78,-9.3
4.83,-5.82
4.88,-2.18
4.93,1.34
4.98,4.78
5.03,7.97
5.08,10.91
5.13,13.47
5.18,15.56
5.23,17.16
5.28,18.27
5.33,18.84
5.38,18.88
5.43,18.52
5.48,17.48
5.53,16.07
5.58,14.16
5.63,11.98
5.68,9.43
5.73,6.79
5.78,3.94
5.83,1.16
5.88,-1.59
5.93,-4.22
5.98,-6.66
6.03,-8.91
6.08,-10.75
6.13,-12.36
6.18,-13.71
6.23,-14.67
