t / s,&j / arb.u.
0.03,-66.79
0.08,-66.87
0.13,-66.78
0.18,-66.9
0.23,-66.8
0.28,-66.8
0.33,-65.96
0.38,-63.81
0.43,-59.83
0.48,-54.79
0.53,-48.56
0.58,-42.24
0.63,-35.11
0.68,-27.33
0.73,-18.27
0.78,-8.29
0.83,2.75
0.88,14.04
0.93,24.97
0.98,34.28
1.03,42.27
1.08,48.36
1.13,53.33
1.18,56.56
1.23,58.79
1.28,59.54
1.33,59.33
1.38,57.58
1.43,54.67
1.48,50.37
1.53,44.84
1.58,37.85
1.63,29.6
1.68,19.97
1.73,9.78
1.78,-0.65
1.83,-10.12
1.88,-18.87
1.93,-26.3
1.98,-32.78
2.03,-38.13
2.08,-42.71
2.13,-45.72
2.18,-46.96
2.23,-46.88
2.28,-46.5
2.33,-45.51
2.38,-44.54
2.43,-42.86
2.48,-40.52
2.53,-37.19
2.58,-33.23
2.63,-28.37
2.68,-22.93
2.73,-16.61
2.78,-9.79
2.83,-2.26
2.88,5.47
2.93,13.2
2.98,20.42
3.03,26.94
3.08,32.27
3.13,36.77
3.18,39.92
3.23,42.29
3.28,43.31
3.33,43.64
3.38,42.85
3.43,41.12
3.48,38.29
3.53,34.57
3.58,29.7
3.63,24.05
3.68,17.61
3.73,10.61
3.78,3.47
3.83,-3.36
3.88,-9.92
3.93,-15.67
3.98,-20.95
4.03,-25.27
4.08,-29.02
4.13,-31.9
4.18,-34.21
4.23,-35.54
4.28,-36.25
4.33,-36.22
4.38,-35.5
4.43,-33.81
4.48,-31.61
4.53,-28.51
4.58,-25.07
4.63,-20.88
4.68,-16.17
4.73,-10.88
4.78,-5.32
4.83,0.73
4.88,6.57
4.93,12.4
4.98,17.71
5.03,22.54
5.08,26.47
5.13,29.71
5.18,31.98
5.23,33.55
5.28,34.07
5.33,34.11
5.38,32.95
5.43,31.2
5.48,28.41
5.53,25.02
5.58,20.79
5.63,16.08
5.68,10.88
5.73,5.52
5.78,0.21
5.83,-4.94
5.88,-9.75
5.93,-14.08
5.98,-17.97
6.03,-21.26
6.08,-24.01
6.13,-26.02
6.18,-27.53
6.23,-28.41
6.28,-28.7
6.33,-28.51
6.38,-27.65
6.43,-26.21
6.48,-24.22
6.53,-21.69
6.58,-18.79
6.63,-15.3
6.68,-11.55
6.73,-7.45
6.78,-3.15
6.83,1.4
6.88,5.7
6.93,9.83
6.98,13.69
7.03,17.14
7.08,20.01
7.13,22.26
7.18,23.83
7.23,24.85
7.28,25.15
7.33,25
7.38,23.92
7.43,22.29
7.48,19.99
7.53,17.26
7.58,13.97
7.63,10.4
7.68,6.56
7.73,2.71
7.78,-1.18
7.83,-4.85
7.88,-8.37
7.93,-11.47
7.98,-14.24
8.03,-16.61
8.08,-18.65
8.13,-20.15
8.18,-21.18
8.23,-21.72
8.28,-21.79
8.33,-21.63
8.38,-20.84
8.43,-19.68
8.48,-18.05
8.53,-16.02
8.58,-13.74
8.63,-11.2
8.68,-8.43
8.73,-5.49
8.78,-2.32
8.83,0.82
8.88,3.79
8.93,6.65
8.98,9.28
9.03,11.57
9.08,13.59
9.13,15.09
9.18,16.14
9.23,16.78
9.28,17
9.33,16.7
9.38,15.93
9.43,14.66
9.48,12.97
9.53,11.01
9.58,8.71
9.63,6.26
9.68,3.63
9.73,1.01
9.78,-1.61
9.83,-4.19
9.88,-6.57
9.93,-8.76
9.98,-10.69
10.03,-12.37
10.08,-13.65
10.13,-14.71
10.18,-15.38
10.23,-15.77
10.28,-15.78
10.33,-15.65
10.38,-15
10.43,-14.09
10.48,-12.93
10.53,-11.56
10.58,-9.91
10.63,-8.2
10.68,-6.25
10.73,-4.18
10.78,-2.12
10.83,-0.09
10.88,1.9
10.93,3.71
10.98,5.45
11.03,6.93
11.08,8.1
11.13,9.1
11.18,9.76
11.23,10.16
11.28,10.22
11.33,10.05
11.38,9.54
11.43,8.62
11.48,7.61
11.53,6.29
11.58,4.91
11.63,3.33
11.68,1.79
11.73,-0.01
11.78,-1.65
11.83,-3.33
11.88,-4.8
11.93,-6.23
11.98,-7.47
12.03,-8.59
12.08,-9.34
12.13,-10.03
12.18,-10.43
12.23,-10.68
12.28,-10.64
12.33,-10.56
12.38,-10.07
12.43,-9.5
12.48,-8.76
12.53,-7.9
12.58,-6.73
12.63,-5.71
12.68,-4.41
12.73,-3.23
12.78,-1.91
12.83,-0.71
12.88,0.55
12.93,1.6
12.98,2.65
13.03,3.4
13.08,4.13
13.13,4.65
13.18,4.97
13.23,5.16
13.28,5.18
13.33,5.06
13.38,4.74
13.43,4.15
13.48,3.64
13.53,2.82
13.58,2.03
13.63,1.09
13.68,0.12
13.73,-0.83
13.78,-1.73
13.83,-2.69
13.88,-3.51
13.93,-4.35
13.98,-5.01
14.03,-5.64
14.08,-6.01
14.13,-6.4
14.18,-6.53
14.23,-6.64
14.28,-6.66
14.33,-6.62
14.38,-6.3
14.43,-6.01
14.48,-5.58
14.53,-5.09
14.58,-4.49
14.63,-3.9
14.68,-3.29
14.73,-2.69
14.78,-2
14.83,-1.42
14.88,-0.85
14.93,-0.32
14.98,0.14
15.03,0.48
15.08,0.88
15.13,1.06
15.18,1.19
15.23,1.27
15.28,1.31
15.33,1.23
15.38,1.13
15.43,0.84
15.48,0.63
15.53,0.23
15.58,-0.08
15.63,-0.46
15.68,-0.82
15.73,-1.2
15.78,-1.56
15.83,-1.95
15.88,-2.25
15.93,-2.53
15.98,-2.81
16.03,-3
16.08,-3.1
16.13,-3.26
16.18,-3.2
16.23,-3.31
16.28,-3.23
16.33,-3.29
16.38,-3.22
16.43,-3.21
16.48,-3.02
16.53,-2.99
16.58,-2.78
16.63,-2.73
16.68,-2.56
16.73,-2.51
16.78,-2.33
16.83,-2.33
16.88,-2.18
16.93,-2.17
16.98,-2.07
17.03,-2.11
17.08,-2
17.13,-2.09
17.18,-1.99
17.23,-2.1
17.28,-2.01
17.33,-2.05
17.38,-2.04
17.43,-2.08
17.48,-1.97
17.53,-2.11
17.58,-2.02
17.63,-2.05
17.68,-2.04
17.73,-2.09
17.78,-1.98
17.83,-2.13
17.88,-2.01
17.93,-2.09
17.98,-1.98
18.03,-2.09
18.08,-1.99
18.13,-2.09
18.18,-1.97
18.23,-2.08
18.28,-2
18.33,-2.08
18.38,-2.01
18.43,-2.11
18.48,-1.99
18.53,-2.08
18.58,-2
18.63,-2.07
18.68,-1.99
18.73,-2.09
18.78,-2.01
18.83,-2.1
18.88,-1.99
18.93,-2.1
18.98,-1.96
19.03,-2.07
19.08,-2
19.13,-2.09
19.18,-2.01
19.23,-2.09
19.28,-1.98
19.33,-2.08
19.38,-1.99
19.43,-2.08
19.48,-2.02
19.53,-2.05
19.58,-1.99
19.63,-2.09
19.68,-2
19.73,-2.08
19.78,-2.01
19.83,-2.1
19.88,-1.98
19.93,-2.09
19.98,-1.98
20.03,-2.1
20.08,-2.01
20.13,-2.09
20.18,-2.03
20.23,-2.06
20.28,-1.99
20.33,-2.08
20.38,-1.99
20.43,-2.1
20.48,-2.03
20.53,-2.05
20.58,-1.98
20.63,-2.08
20.68,-2.01
20.73,-2.07
20.78,-2.03
20.83,-2.08
20.88,-2.03
20.93,-2.07
20.98,-2.01
21.03,-2.1
21.08,-1.99
21.13,-2.08
21.18,-1.96
21.23,-2.07
21.28,-1.97
21.33,-2.08
21.38,-2.01
21.43,-2.06
21.48,-1.99
21.53,-2.11
21.58,-1.97
21.63,-2.09
21.68,-1.95
21.73,-2.08
21.78,-1.99
21.83,-2.07
21.88,-1.99
21.93,-2.1
21.98,-1.99
22.03,-2.12
22.08,-1.97
22.13,-2.09
22.18,-1.97
22.23,-2.08
22.28,-1.98
22.33,-2.09
22.38,-2.01
22.43,-2.07
22.48,-2.03
22.53,-2.09
22.58,-2
22.63,-2.07
22.68,-2
22.73,-2.1
22.78,-2.01
22.83,-2.11
22.88,-2
22.93,-2.11
22.98,-2.03
23.03,-2.07
23.08,-1.99
23.13,-2.08
23.18,-2.05
23.23,-2.06
23.28,-1.95
23.33,-2.14
23.38,-1.95
23.43,-2.08
23.48,-1.97
23.53,-2.09
23.58,-1.99
23.63,-2.07
23.68,-1.92
23.73,-2.09
23.78,-2.01
23.83,-2.11
23.88,-1.99
23.93,-2.07
23.98,-2.01
24.03,-2.09
24.08,-2
24.13,-2.08
24.18,-2
24.23,-2.11
24.28,-2
24.33,-2.11
24.38,-1.99
24.43,-2.12
24.48,-2
24.53,-2.08
24.58,-2.02
24.63,-2.09
24.68,-2
24.73,-2.06
24.78,-2
24.83,-2.1
24.88,-1.98
24.93,-2.09
24.98,-2.03
25.03,-2.07
25.08,-2.02
25.13,-2.06
25.18,-1.98
25.23,-2.09
25.28,-2.01
25.33,-2.09
25.38,-1.96
25.43,-2.09
25.48,-2.03
25.53,-2.07
25.58,-2.01
25.63,-2.08
25.68,-2.05
25.73,-2.06
25.78,-1.99
25.83,-2.09
25.88,-1.99
25.93,-2.1
25.98,-2.02
26.03,-2.11
26.08,-2
26.13,-2.07
26.18,-2.03
26.23,-2.07
26.28,-1.98
26.33,-2.11
26.38,-1.98
26.43,-2.14
26.48,-1.98
26.53,-2.08
26.58,-2.04
26.63,-2.1
