t / s,&j / arb.u.
0.03,-66.34
0.08,-66.26
0.13,-66.42
0.18,-66.36
0.23,-66.43
0.28,-66.44
0.33,-66.6
0.38,-66.34
0.43,-64.47
0.48,-60.75
0.53,-55.82
0.58,-49.73
0.63,-43.14
0.68,-35.71
0.73,-27.52
0.78,-18.07
0.83,-7.53
0.88,4.09
0.93,15.98
0.98,27.18
1.03,36.85
1.08,44.75
1.13,51.01
1.18,55.86
1.23,59.17
1.28,61.18
1.33,61.88
1.38,61.46
1.43,59.57
1.48,56.39
1.53,51.8
1.58,45.92
1.63,38.54
1.68,29.81
1.73,19.69
1.78,8.88
1.83,-1.89
1.88,-11.85
1.93,-20.82
1.98,-28.58
2.03,-35.25
2.08,-40.92
2.13,-45.62
2.18,-49.04
2.23,-51.49
2.28,-52.6
2.33,-52.65
2.38,-51.34
2.43,-48.85
2.48,-45.37
2.53,-41.28
2.58,-36.24
2.63,-30.38
2.68,-23.77
2.73,-16.3
2.78,-8
2.83,1.06
2.88,10.36
2.93,19.42
2.98,27.57
3.03,34.6
3.08,40.28
3.13,44.67
3.18,47.89
3.23,49.94
3.28,50.8
3.33,50.73
3.38,49.36
3.43,46.87
3.48,43.18
3.53,38.48
3.58,32.58
3.63,25.59
3.68,17.69
3.73,9.23
3.78,0.79
3.83,-7.34
3.88,-14.77
3.93,-21.37
3.98,-27.13
4.03,-31.99
4.08,-36.03
4.13,-39.2
4.18,-41.47
4.23,-42.83
4.28,-43.26
4.33,-42.86
4.38,-41.46
4.43,-39.08
4.48,-36
4.53,-32.07
4.58,-27.47
4.63,-22.11
4.68,-16.16
4.73,-9.37
4.78,-2.24
4.83,5.34
4.88,12.72
4.93,19.81
4.98,26.02
5.03,31.31
5.08,35.57
5.13,38.86
5.18,40.98
5.23,42.15
5.28,42.34
5.33,41.72
5.38,39.82
5.43,37.1
5.48,33.33
5.53,28.72
5.58,23.13
5.63,16.89
5.68,10.08
5.73,3.29
5.78,-3.49
5.83,-9.81
5.88,-15.63
5.93,-20.68
5.98,-25.16
6.03,-28.87
6.08,-31.84
6.13,-34.03
6.18,-35.51
6.23,-36.16
6.28,-36.31
6.33,-35.47
6.38,-34
6.43,-31.66
6.48,-28.74
6.53,-25.11
6.58,-21.03
6.63,-16.16
6.68,-10.94
6.73,-5.17
6.78,0.72
6.83,6.89
6.88,12.65
6.93,18.24
6.98,22.95
7.03,27.12
7.08,30.18
7.13,32.67
7.18,34.05
7.23,34.8
7.28,34.59
7.33,33.62
7.38,31.55
7.43,28.89
7.48,25.37
7.53,21.22
7.58,16.24
7.63,10.99
7.68,5.46
7.73,0.03
7.78,-5.46
7.83,-10.37
7.88,-14.99
7.93,-18.93
7.98,-22.5
8.03,-25.31
8.08,-27.56
8.13,-29.09
8.18,-30.15
8.23,-30.38
8.28,-30.35
8.33,-29.31
8.38,-27.87
8.43,-25.63
8.48,-23.1
8.53,-19.81
8.58,-16.23
8.63,-12.04
8.68,-7.67
8.73,-2.8
8.78,1.98
8.83,6.89
8.88,11.43
8.93,15.76
8.98,19.39
9.03,22.64
9.08,24.98
9.13,26.78
9.18,27.66
9.23,28.04
9.28,27.67
9.33,26.59
9.38,24.6
9.43,22.13
9.48,18.95
9.53,15.35
9.58,11.21
9.63,7.06
9.68,2.51
9.73,-1.73
9.78,-6.11
9.83,-9.95
9.88,-13.62
9.93,-16.68
9.98,-19.55
10.03,-21.64
10.08,-23.46
10.13,-24.53
10.18,-25.2
10.23,-25.3
10.28,-25.11
10.33,-24.07
10.38,-22.79
10.43,-20.82
10.48,-18.56
10.53,-15.71
10.58,-12.6
10.63,-9.13
10.68,-5.47
10.73,-1.57
10.78,2.27
10.83,6.09
10.88,9.62
10.93,12.94
10.98,15.78
11.03,18.23
11.08,19.98
11.13,21.27
11.18,21.91
11.23,22.05
11.28,21.57
11.33,20.47
11.38,18.78
11.43,16.6
11.48,13.92
11.53,10.93
11.58,7.65
11.63,4.25
11.68,0.72
11.73,-2.68
11.78,-6.09
11.83,-9.11
11.88,-11.99
11.93,-14.43
11.98,-16.57
12.03,-18.26
12.08,-19.57
12.13,-20.45
12.18,-20.87
12.23,-20.92
12.28,-20.53
12.33,-19.69
12.38,-18.36
12.43,-16.69
12.48,-14.64
12.53,-12.35
12.58,-9.74
12.63,-6.92
12.68,-3.94
12.73,-0.91
12.78,2.13
12.83,5.06
12.88,7.78
12.93,10.25
12.98,12.41
13.03,14.16
13.08,15.53
13.13,16.34
13.18,16.82
13.23,16.83
13.28,16.38
13.33,15.32
13.38,13.89
13.43,12.06
13.48,9.97
13.53,7.55
13.58,4.96
13.63,2.3
13.68,-0.42
13.73,-3.16
13.78,-5.77
13.83,-8.21
13.88,-10.32
13.93,-12.28
13.98,-13.85
14.03,-15.18
14.08,-16.13
14.13,-16.79
14.18,-17.04
14.23,-17.12
14.28,-16.63
14.33,-15.87
14.38,-14.73
14.43,-13.37
14.48,-11.62
14.53,-9.81
14.58,-7.67
14.63,-5.48
14.68,-3.04
14.73,-0.66
14.78,1.79
14.83,3.93
14.88,6.02
14.93,7.9
14.98,9.57
15.03,10.75
15.08,11.77
15.13,12.36
15.18,12.59
15.23,12.57
15.28,12.13
15.33,11.24
15.38,10.1
15.43,8.64
15.48,6.93
15.53,4.99
15.58,3.06
15.63,0.9
15.68,-1.19
15.73,-3.33
15.78,-5.27
15.83,-7.2
15.88,-8.79
15.93,-10.3
15.98,-11.49
16.03,-12.5
16.08,-13.1
16.13,-13.64
16.18,-13.67
16.23,-13.77
16.28,-13.35
16.33,-12.74
16.38,-11.72
16.43,-10.61
16.48,-9.16
16.53,-7.73
16.58,-5.94
16.63,-4.17
16.68,-2.29
16.73,-0.52
16.78,1.34
16.83,2.89
16.88,4.5
16.93,5.82
16.98,7.09
17.03,7.93
17.08,8.71
17.13,9.08
17.18,9.22
17.23,9.11
17.28,8.76
17.33,8.01
17.38,7.08
17.43,5.86
17.48,4.61
17.53,3.08
17.58,1.64
17.63,-0.11
17.68,-1.62
17.73,-3.32
17.78,-4.71
17.83,-6.24
17.88,-7.39
17.93,-8.6
17.98,-9.39
18.03,-10.21
18.08,-10.62
18.13,-10.96
18.18,-10.93
18.23,-11
18.28,-10.54
18.33,-10.09
18.38,-9.21
18.43,-8.38
18.48,-7.17
18.53,-6.07
18.58,-4.63
18.63,-3.36
18.68,-1.84
18.73,-0.6
18.78,0.87
18.83,2.06
18.88,3.26
18.93,4.2
18.98,5.1
19.03,5.66
19.08,6.25
19.13,6.33
19.18,6.53
19.23,6.36
19.28,6.04
19.33,5.38
19.38,4.79
19.43,3.8
19.48,2.78
19.53,1.59
19.58,0.45
19.63,-0.79
19.68,-1.99
19.73,-3.23
19.78,-4.31
19.83,-5.36
19.88,-6.23
19.93,-7.15
19.98,-7.73
20.03,-8.27
20.08,-8.54
20.13,-8.75
20.18,-8.74
20.23,-8.73
20.28,-8.34
20.33,-7.91
20.38,-7.26
20.43,-6.55
