t / s,&j / arb.u.
0.03,-66.21
0.08,-66.33
0.13,-66.27
0.18,-66.37
0.23,-66.28
0.28,-66.38
0.33,-66.33
0.38,-66.42
0.43,-66.29
0.48,-66.41
0.53,-66.32
0.58,-66.37
0.63,-66.39
0.68,-66.47
0.73,-66.45
0.78,-66.5
0.83,-66.47
0.88,-66.46
0.93,-65.98
0.98,-64.5
1.03,-61.51
1.08,-57.52
1.13,-52.66
1.18,-47.67
1.23,-42.59
1.28,-37.57
1.33,-32.3
1.38,-27
1.43,-21.47
1.48,-16.03
1.53,-10.53
1.58,-5.44
1.63,-0.56
1.68,3.64
1.73,7.35
1.78,10.22
1.83,12.67
1.88,14.35
1.93,15.53
1.98,16.02
2.03,16.3
2.08,15.94
2.13,15.23
2.18,14.12
2.23,12.9
2.28,11.25
2.33,9.72
2.38,7.94
2.43,6.26
2.48,4.45
2.53,2.98
2.58,1.39
2.63,0.12
2.68,-1.24
2.73,-2.19
2.78,-3.21
2.83,-3.88
2.88,-4.5
2.93,-4.92
2.98,-5.34
3.03,-5.35
3.08,-5.64
3.13,-5.49
3.18,-5.58
3.23,-5.43
3.28,-5.29
3.33,-4.88
3.38,-4.67
3.43,-4.27
3.48,-4
3.53,-3.61
3.58,-3.31
3.63,-2.94
3.68,-2.72
3.73,-2.39
3.78,-2.21
3.83,-1.96
3.88,-1.8
3.93,-1.59
3.98,-1.54
4.03,-1.41
4.08,-1.37
4.13,-1.25
4.18,-1.29
4.23,-1.26
4.28,-1.28
4.33,-1.24
4.38,-1.3
4.43,-1.21
4.48,-1.3
4.53,-1.29
4.58,-1.39
4.63,-1.37
4.68,-1.54
4.73,-1.52
4.78,-1.65
4.83,-1.59
4.88,-1.69
4.93,-1.63
4.98,-1.72
5.03,-1.73
5.08,-1.75
5.13,-1.7
5.18,-1.75
5.23,-1.73
5.28,-1.79
5.33,-1.73
5.38,-1.76
5.43,-1.7
5.48,-1.78
5.53,-1.69
5.58,-1.77
5.63,-1.7
5.68,-1.78
5.73,-1.71
5.78,-1.77
5.83,-1.71
5.88,-1.81
5.93,-1.76
5.98,-1.79
6.03,-1.73
6.08,-1.78
6.13,-1.73
6.18,-1.78
6.23,-1.65
6.28,-1.77
6.33,-1.67
6.38,-1.74
6.43,-1.7
6.48,-1.77
6.53,-1.76
6.58,-1.81
6.63,-1.73
6.68,-1.75
6.73,-1.72
6.78,-1.76
6.83,-1.72
6.88,-1.75
6.93,-1.75
6.98,-1.73
7.03,-1.72
7.08,-1.79
7.13,-1.73
7.18,-1.79
7.23,-1.71
7.28,-1.78
7.33,-1.72
