t / s,&j / arb.u.
0.03,-66.83
0.08,-66.82
0.13,-66.74
0.18,-66.17
0.23,-65.13
0.28,-62.53
0.33,-58.58
0.38,-53.43
0.43,-47.65
0.48,-41.27
0.53,-34.31
0.58,-26.7
0.63,-18.5
0.68,-9.49
0.73,-0.09
0.78,9.42
0.83,18.31
0.88,26.23
0.93,32.64
0.98,37.91
1.03,41.61
1.08,44.27
1.13,45.65
1.18,46.06
1.23,45.48
1.28,43.88
1.33,41.08
1.38,37.58
1.43,33.15
1.48,27.95
1.53,21.98
1.58,15.68
1.63,8.98
1.68,2.55
1.73,-3.57
1.78,-9.05
1.83,-13.97
1.88,-18.15
1.93,-21.66
1.98,-24.41
2.03,-26.59
2.08,-27.95
2.13,-28.81
2.18,-28.97
2.23,-28.75
2.28,-27.64
2.33,-26.22
2.38,-24.14
2.43,-21.77
2.48,-18.94
2.53,-15.78
2.58,-12.23
2.63,-8.67
2.68,-4.86
2.73,-1.09
2.78,2.57
2.83,5.83
2.88,8.94
2.93,11.51
2.98,13.84
3.03,15.45
3.08,16.75
3.13,17.39
3.18,17.65
3.23,17.43
3.28,16.79
3.33,15.42
3.38,13.93
3.43,12.02
3.48,9.88
3.53,7.49
3.58,5.13
3.63,2.69
3.68,0.3
3.73,-2.08
3.78,-4.21
3.83,-6.26
3.88,-7.94
3.93,-9.5
3.98,-10.66
4.03,-11.62
4.08,-12.19
4.13,-12.64
4.18,-12.71
4.23,-12.73
4.28,-12.32
4.33,-11.73
4.38,-10.87
4.43,-9.89
4.48,-8.65
4.53,-7.47
4.58,-6.07
4.63,-4.7
4.68,-3.23
4.73,-1.96
4.78,-0.55
4.83,0.59
4.88,1.82
4.93,2.69
4.98,3.55
5.03,4.09
5.08,4.57
5.13,4.79
5.18,4.96
5.23,4.83
5.28,4.74
5.33,4.29
5.38,3.81
5.43,3.14
5.48,2.51
5.53,1.69
5.58,0.91
5.63,0.01
5.68,-0.78
5.73,-1.69
5.78,-2.36
5.83,-3.12
5.88,-3.71
5.93,-4.37
5.98,-4.7
6.03,-5.11
6.08,-5.32
6.13,-5.52
6.18,-5.53
6.23,-5.59
6.28,-5.44
6.33,-5.39
6.38,-5.03
6.43,-4.72
6.48,-4.29
6.53,-3.95
6.58,-3.42
6.63,-3.02
6.68,-2.5
6.73,-2.15
6.78,-1.61
6.83,-1.28
6.88,-0.84
6.93,-0.63
6.98,-0.28
7.03,-0.13
7.08,0.05
7.13,0.1
7.18,0.22
7.23,0.13
7.28,0.24
7.33,0.12
7.38,0.03
7.43,-0.23
7.48,-0.36
7.53,-0.64
7.58,-0.81
7.63,-1.13
7.68,-1.3
7.73,-1.64
